Condizione di riposo: 10 Stabile
Da 1 giro fino a 9 giri progredendo di un giro alla volta (1 giro = -25600)
MaxVel 240
Acceleration 10000
Deceleration 10000

10 misurazioni per giro

num_ciclo	spostamento	AnalogInput0	error_status
1	-25600	114	0
2	-25600	114	0
3	-25600	114	0
4	-25600	113	0
5	-25600	114	0
6	-25600	113	0
7	-25600	113	0
8	-25600	113	0
9	-25600	114	0
10	-25600	114	0
1	-51200	218	0
2	-51200	217	0
3	-51200	217	0
4	-51200	217	0
5	-51200	217	0
6	-51200	217	0
7	-51200	217	0
8	-51200	217	0
9	-51200	217	0
10	-51200	217	0
1	-76800	320	0
2	-76800	320	0
3	-76800	320	0
4	-76800	321	0
5	-76800	320	0
6	-76800	321	0
7	-76800	320	0
8	-76800	320	0
9	-76800	320	0
10	-76800	321	0
1	-102400	423	0
2	-102400	422	0
3	-102400	422	0
4	-102400	423	0
5	-102400	422	0
6	-102400	423	0
7	-102400	423	0
8	-102400	423	0
9	-102400	423	0
10	-102400	422	0
1	-128000	525	0
2	-128000	525	0
3	-128000	525	0
4	-128000	525	0
5	-128000	525	0
6	-128000	525	0
7	-128000	525	0
8	-128000	525	0
9	-128000	525	0
10	-128000	525	0
1	-153600	627	0
2	-153600	627	0
3	-153600	627	0
4	-153600	627	0
5	-153600	628	0
6	-153600	627	0
7	-153600	627	0
8	-153600	627	0
9	-153600	627	0
10	-153600	627	0
1	-179200	730	0
2	-179200	730	0
3	-179200	731	0
4	-179200	730	0
5	-179200	731	0
6	-179200	730	0
7	-179200	730	0
8	-179200	730	0
9	-179200	731	0
10	-179200	730	0
1	-204800	834	0
2	-204800	834	0
3	-204800	835	0
4	-204800	835	0
5	-204800	835	0
6	-204800	834	0
7	-204800	834	0
8	-204800	834	0
9	-204800	834	0
10	-204800	835	0
1	-230400	939	0
2	-230400	940	0
3	-230400	939	0
4	-230400	939	0
5	-230400	939	0
6	-230400	939	0
7	-230400	940	0
8	-230400	939	0
9	-230400	939	0
10	-230400	939	0
