Condizione di riposo: 10 Stabile
Da 1 giro fino a 9 giri progredendo di un giro alla volta (1 giro = -25600)
MaxVel 240
Acceleration 10000
Deceleration 10000

100 misurazioni per giro

num_ciclo	spostamento	AnalogInput0	error_status
1	-25600	114	0
2	-25600	114	0
3	-25600	113	0
4	-25600	114	0
5	-25600	113	0
6	-25600	113	0
7	-25600	113	0
8	-25600	113	0
9	-25600	113	0
10	-25600	114	0
11	-25600	113	0
12	-25600	113	0
13	-25600	113	0
14	-25600	113	0
15	-25600	114	0
16	-25600	113	0
17	-25600	114	0
18	-25600	114	0
19	-25600	114	0
20	-25600	114	0
21	-25600	113	0
22	-25600	114	0
23	-25600	113	0
24	-25600	114	0
25	-25600	114	0
26	-25600	114	0
27	-25600	114	0
28	-25600	113	0
29	-25600	113	0
30	-25600	113	0
31	-25600	114	0
32	-25600	113	0
33	-25600	114	0
34	-25600	113	0
35	-25600	114	0
36	-25600	114	0
37	-25600	113	0
38	-25600	114	0
39	-25600	114	0
40	-25600	114	0
41	-25600	114	0
42	-25600	114	0
43	-25600	113	0
44	-25600	114	0
45	-25600	114	0
46	-25600	114	0
47	-25600	113	0
48	-25600	114	0
49	-25600	113	0
50	-25600	113	0
51	-25600	113	0
52	-25600	114	0
53	-25600	113	0
54	-25600	114	0
55	-25600	113	0
56	-25600	114	0
57	-25600	114	0
58	-25600	114	0
59	-25600	114	0
60	-25600	113	0
61	-25600	114	0
62	-25600	113	0
63	-25600	113	0
64	-25600	114	0
65	-25600	114	0
66	-25600	113	0
67	-25600	114	0
68	-25600	113	0
69	-25600	114	0
70	-25600	114	0
71	-25600	114	0
72	-25600	113	0
73	-25600	114	0
74	-25600	114	0
75	-25600	114	0
76	-25600	113	0
77	-25600	113	0
78	-25600	114	0
79	-25600	114	0
80	-25600	114	0
81	-25600	114	0
82	-25600	114	0
83	-25600	114	0
84	-25600	113	0
85	-25600	113	0
86	-25600	113	0
87	-25600	114	0
88	-25600	114	0
89	-25600	113	0
90	-25600	114	0
91	-25600	113	0
92	-25600	114	0
93	-25600	113	0
94	-25600	113	0
95	-25600	113	0
96	-25600	113	0
97	-25600	113	0
98	-25600	113	0
99	-25600	114	0
100	-25600	114	0
1	-51200	218	0
2	-51200	217	0
3	-51200	218	0
4	-51200	217	0
5	-51200	217	0
6	-51200	217	0
7	-51200	217	0
8	-51200	217	0
9	-51200	217	0
10	-51200	217	0
11	-51200	217	0
12	-51200	217	0
13	-51200	217	0
14	-51200	218	0
15	-51200	217	0
16	-51200	217	0
17	-51200	217	0
18	-51200	217	0
19	-51200	217	0
20	-51200	217	0
21	-51200	217	0
22	-51200	217	0
23	-51200	217	0
24	-51200	217	0
25	-51200	217	0
26	-51200	217	0
27	-51200	217	0
28	-51200	217	0
29	-51200	217	0
30	-51200	217	0
31	-51200	217	0
32	-51200	217	0
33	-51200	217	0
34	-51200	217	0
35	-51200	217	0
36	-51200	217	0
37	-51200	217	0
38	-51200	217	0
39	-51200	218	0
40	-51200	217	0
41	-51200	217	0
42	-51200	217	0
43	-51200	217	0
44	-51200	217	0
45	-51200	217	0
46	-51200	217	0
47	-51200	218	0
48	-51200	217	0
49	-51200	217	0
50	-51200	217	0
51	-51200	217	0
52	-51200	217	0
53	-51200	217	0
54	-51200	217	0
55	-51200	217	0
56	-51200	217	0
57	-51200	217	0
