Condizione di riposo: 10 Stabile
Da 1 giro fino a 9 giri progredendo di un quarto di giro alla volta (1/4 giro = -6400)
MaxVel 240
Acceleration 10000
Deceleration 10000

10 misurazioni per giro

num_ciclo	spostamento	AnalogInput0	error_status
1	-6400	36	0
2	-6400	35	0
3	-6400	36	0
4	-6400	36	0
5	-6400	36	0
6	-6400	36	0
7	-6400	36	0
8	-6400	36	0
9	-6400	36	0
10	-6400	36	0
1	-12800	62	0
2	-12800	62	0
3	-12800	62	0
4	-12800	62	0
5	-12800	61	0
6	-12800	62	0
7	-12800	62	0
8	-12800	61	0
9	-12800	62	0
10	-12800	62	0
1	-19200	87	0
2	-19200	87	0
3	-19200	87	0
4	-19200	87	0
5	-19200	87	0
6	-19200	87	0
7	-19200	87	0
8	-19200	87	0
9	-19200	87	0
10	-19200	88	0
1	-25600	113	0
2	-25600	114	0
3	-25600	113	0
4	-25600	114	0
5	-25600	113	0
6	-25600	113	0
7	-25600	113	0
8	-25600	114	0
9	-25600	113	0
10	-25600	114	0
1	-32000	140	0
2	-32000	140	0
3	-32000	141	0
4	-32000	139	0
5	-32000	140	0
6	-32000	140	0
7	-32000	140	0
8	-32000	140	0
9	-32000	140	0
10	-32000	140	0
1	-38400	166	0
2	-38400	166	0
3	-38400	166	0
4	-38400	165	0
5	-38400	166	0
6	-38400	166	0
7	-38400	166	0
8	-38400	166	0
9	-38400	166	0
10	-38400	165	0
1	-44800	192	0
2	-44800	191	0
3	-44800	191	0
4	-44800	192	0
5	-44800	191	0
6	-44800	191	0
7	-44800	191	0
8	-44800	192	0
9	-44800	192	0
10	-44800	191	0
1	-51200	218	0
2	-51200	218	0
3	-51200	218	0
4	-51200	217	0
5	-51200	218	0
6	-51200	217	0
7	-51200	217	0
8	-51200	218	0
9	-51200	217	0
10	-51200	217	0
1	-57600	243	0
2	-57600	243	0
3	-57600	243	0
4	-57600	244	0
5	-57600	244	0
6	-57600	243	0
7	-57600	243	0
8	-57600	243	0
9	-57600	243	0
10	-57600	243	0
1	-64000	269	0
2	-64000	269	0
3	-64000	270	0
4	-64000	269	0
5	-64000	269	0
6	-64000	269	0
7	-64000	269	0
8	-64000	269	0
9	-64000	269	0
10	-64000	269	0
1	-70400	295	0
2	-70400	295	0
3	-70400	295	0
4	-70400	294	0
5	-70400	295	0
6	-70400	295	0
7	-70400	295	0
8	-70400	295	0
9	-70400	295	0
10	-70400	295	0
1	-76800	320	0
2	-76800	321	0
3	-76800	320	0
4	-76800	320	0
5	-76800	320	0
6	-76800	321	0
7	-76800	321	0
8	-76800	320	0
9	-76800	321	0
10	-76800	320	0
1	-83200	346	0
2	-83200	347	0
3	-83200	346	0
4	-83200	346	0
5	-83200	347	0
6	-83200	346	0
7	-83200	346	0
8	-83200	346	0
9	-83200	346	0
10	-83200	347	0
1	-89600	372	0
2	-89600	371	0
3	-89600	372	0
4	-89600	372	0
5	-89600	371	0
6	-89600	372	0
7	-89600	372	0
8	-89600	372	0
9	-89600	372	0
10	-89600	371	0
1	-96000	397	0
2	-96000	397	0
3	-96000	396	0
4	-96000	396	0
5	-96000	397	0
6	-96000	397	0
7	-96000	396	0
8	-96000	397	0
9	-96000	397	0
10	-96000	397	0
1	-102400	423	0
2	-102400	422	0
3	-102400	422	0
4	-102400	423	0
5	-102400	422	0
6	-102400	423	0
7	-102400	423	0
8	-102400	423	0
9	-102400	423	0
10	-102400	422	0
1	-108800	448	0
2	-108800	448	0
3	-108800	448	0
4	-108800	449	0
5	-108800	448	0
6	-108800	448	0
7	-108800	448	0
8	-108800	449	0
9	-108800	448	0
10	-108800	448	0
1	-115200	474	0
2	-115200	474	0
3	-115200	473	0
4	-115200	474	0
5	-115200	474	0
6	-115200	474	0
7	-115200	474	0
8	-115200	474	0
9	-115200	474	0
10	-115200	474	0
1	-121600	500	0
2	-121600	500	0
3	-121600	500	0
4	-121600	500	0
5	-121600	500	0
6	-121600	500	0
7	-121600	500	0
8	-121600	500	0
9	-121600	499	0
10	-121600	500	0
1	-128000	525	0
2	-128000	525	0
3	-128000	524	0
4	-128000	525	0
5	-128000	525	0
6	-128000	524	0
7	-128000	525	0
8	-128000	525	0
9	-128000	525	0
10	-128000	525	0
1	-134400	550	0
2	-134400	550	0
3	-134400	550	0
4	-134400	550	0
5	-134400	550	0
6	-134400	551	0
7	-134400	550	0
8	-134400	550	0
9	-134400	551	0
10	-134400	551	0
1	-140800	576	0
2	-140800	577	0
3	-140800	576	0
4	-140800	576	0
5	-140800	576	0
6	-140800	576	0
7	-140800	576	0
8	-140800	576	0
9	-140800	577	0
10	-140800	576	0
1	-147200	601	0
2	-147200	602	0
3	-147200	601	0
4	-147200	602	0
5	-147200	601	0
6	-147200	602	0
7	-147200	601	0
8	-147200	602	0
9	-147200	601	0
10	-147200	602	0
1	-153600	627	0
2	-153600	627	0
3	-153600	627	0
4	-153600	627	0
5	-153600	627	0
6	-153600	627	0
7	-153600	627	0
8	-153600	627	0
9	-153600	627	0
10	-153600	628	0
1	-160000	653	0
2	-160000	653	0
3	-160000	653	0
4	-160000	653	0
5	-160000	653	0
6	-160000	653	0
7	-160000	653	0
8	-160000	653	0
9	-160000	653	0
10	-160000	653	0
1	-166400	679	0
2	-166400	679	0
3	-166400	679	0
4	-166400	679	0
5	-166400	679	0
6	-166400	678	0
7	-166400	678	0
8	-166400	679	0
9	-166400	679	0
10	-166400	679	0
1	-172800	705	0
2	-172800	705	0
3	-172800	705	0
4	-172800	705	0
5	-172800	705	0
6	-172800	705	0
7	-172800	704	0
8	-172800	704	0
9	-172800	705	0
10	-172800	705	0
1	-179200	730	0
2	-179200	731	0
3	-179200	730	0
4	-179200	731	0
5	-179200	731	0
6	-179200	730	0
7	-179200	731	0
8	-179200	731	0
9	-179200	731	0
10	-179200	730	0
1	-185600	757	0
2	-185600	756	0
3	-185600	756	0
4	-185600	756	0
5	-185600	756	0
6	-185600	757	0
7	-185600	757	0
8	-185600	756	0
9	-185600	756	0
10	-185600	757	0
1	-192000	783	0
2	-192000	783	0
3	-192000	782	0
4	-192000	783	0
5	-192000	782	0
6	-192000	782	0
7	-192000	782	0
8	-192000	783	0
9	-192000	782	0
10	-192000	783	0
1	-198400	808	0
2	-198400	809	0
3	-198400	809	0
4	-198400	809	0
5	-198400	809	0
6	-198400	809	0
7	-198400	809	0
8	-198400	809	0
9	-198400	809	0
10	-198400	809	0
1	-204800	835	0
2	-204800	835	0
3	-204800	835	0
4	-204800	834	0
5	-204800	835	0
6	-204800	835	0
7	-204800	835	0
8	-204800	835	0
9	-204800	835	0
10	-204800	835	0
1	-211200	861	0
2	-211200	861	0
3	-211200	861	0
4	-211200	861	0
5	-211200	861	0
6	-211200	861	0
7	-211200	861	0
8	-211200	860	0
9	-211200	861	0
10	-211200	861	0
1	-217600	887	0
2	-217600	887	0
3	-217600	887	0
4	-217600	887	0
5	-217600	887	0
6	-217600	887	0
7	-217600	887	0
8	-217600	887	0
9	-217600	887	0
10	-217600	887	0
1	-224000	914	0
2	-224000	914	0
3	-224000	913	0
4	-224000	913	0
5	-224000	913	0
6	-224000	913	0
7	-224000	913	0
8	-224000	913	0
9	-224000	914	0
10	-224000	913	0
1	-230400	940	0
2	-230400	939	0
3	-230400	939	0
4	-230400	939	0
5	-230400	939	0
6	-230400	939	0
7	-230400	940	0
8	-230400	940	0
9	-230400	939	0
10	-230400	939	0
