Condizione di riposo: 10 Stabile
Da 1 giro fino a 9 giri progredendo di mezzo giro alla volta (1/2 giro = -12800)
MaxVel 240
Acceleration 10000
Deceleration 10000

10 misurazioni per giro

num_ciclo	spostamento	AnalogInput0	error_status
1	-12800	61	0
2	-12800	61	0
3	-12800	62	0
4	-12800	62	0
5	-12800	62	0
6	-12800	61	0
7	-12800	62	0
8	-12800	62	0
9	-12800	62	0
10	-12800	62	0
1	-25600	114	0
2	-25600	113	0
3	-25600	113	0
4	-25600	114	0
5	-25600	113	0
6	-25600	114	0
7	-25600	113	0
8	-25600	113	0
9	-25600	114	0
10	-25600	114	0
1	-38400	166	0
2	-38400	165	0
3	-38400	166	0
4	-38400	166	0
5	-38400	166	0
6	-38400	165	0
7	-38400	166	0
8	-38400	166	0
9	-38400	166	0
10	-38400	165	0
1	-51200	217	0
2	-51200	217	0
3	-51200	217	0
4	-51200	217	0
5	-51200	217	0
6	-51200	217	0
7	-51200	218	0
8	-51200	217	0
9	-51200	217	0
10	-51200	217	0
1	-64000	269	0
2	-64000	269	0
3	-64000	269	0
4	-64000	269	0
5	-64000	269	0
6	-64000	269	0
7	-64000	269	0
8	-64000	269	0
9	-64000	269	0
10	-64000	269	0
1	-76800	320	0
2	-76800	320	0
3	-76800	320	0
4	-76800	320	0
5	-76800	320	0
6	-76800	320	0
7	-76800	320	0
8	-76800	320	0
9	-76800	320	0
10	-76800	321	0
1	-89600	371	0
2	-89600	372	0
3	-89600	371	0
4	-89600	371	0
5	-89600	372	0
6	-89600	371	0
7	-89600	371	0
8	-89600	372	0
9	-89600	372	0
10	-89600	372	0
1	-102400	422	0
2	-102400	423	0
3	-102400	422	0
4	-102400	423	0
5	-102400	423	0
6	-102400	423	0
7	-102400	423	0
8	-102400	423	0
9	-102400	423	0
10	-102400	423	0
1	-115200	474	0
2	-115200	473	0
3	-115200	474	0
4	-115200	474	0
5	-115200	474	0
6	-115200	474	0
7	-115200	474	0
8	-115200	474	0
9	-115200	474	0
10	-115200	474	0
1	-128000	525	0
2	-128000	525	0
3	-128000	524	0
4	-128000	525	0
5	-128000	525	0
6	-128000	525	0
7	-128000	525	0
8	-128000	525	0
9	-128000	525	0
10	-128000	525	0
1	-140800	576	0
2	-140800	576	0
3	-140800	576	0
4	-140800	576	0
5	-140800	576	0
6	-140800	576	0
7	-140800	576	0
8	-140800	576	0
9	-140800	576	0
10	-140800	576	0
1	-153600	627	0
2	-153600	627	0
3	-153600	627	0
4	-153600	627	0
5	-153600	627	0
6	-153600	627	0
7	-153600	627	0
8	-153600	627	0
9	-153600	627	0
10	-153600	627	0
1	-166400	679	0
2	-166400	679	0
3	-166400	679	0
4	-166400	679	0
5	-166400	679	0
6	-166400	679	0
7	-166400	679	0
8	-166400	678	0
9	-166400	679	0
10	-166400	678	0
1	-179200	731	0
2	-179200	731	0
3	-179200	731	0
4	-179200	731	0
5	-179200	731	0
6	-179200	730	0
7	-179200	730	0
8	-179200	731	0
9	-179200	731	0
10	-179200	730	0
1	-192000	782	0
2	-192000	783	0
3	-192000	782	0
4	-192000	783	0
5	-192000	783	0
6	-192000	782	0
7	-192000	783	0
8	-192000	782	0
9	-192000	783	0
10	-192000	782	0
1	-204800	834	0
2	-204800	835	0
3	-204800	834	0
4	-204800	834	0
5	-204800	834	0
6	-204800	834	0
7	-204800	835	0
8	-204800	835	0
9	-204800	835	0
10	-204800	835	0
1	-217600	887	0
2	-217600	887	0
3	-217600	887	0
4	-217600	887	0
5	-217600	888	0
6	-217600	888	0
7	-217600	887	0
8	-217600	887	0
9	-217600	887	0
10	-217600	887	0
1	-230400	939	0
2	-230400	939	0
3	-230400	939	0
4	-230400	940	0
5	-230400	940	0
6	-230400	940	0
7	-230400	940	0
8	-230400	940	0
9	-230400	940	0
10	-230400	940	0
